epoch,dense_1_loss,dense_2_loss,dense_3_loss,loss,lr,val_dense_1_loss,val_dense_2_loss,val_dense_3_loss,val_loss
0,0.8434931772945332,0.20862491406630618,0.17750107173126844,1.2296191627681652,0.001,0.4692593912234107,0.10390565478691897,0.08650455290945136,0.659669598319616
1,0.3171570084732638,0.09352056445986166,0.0883403980742003,0.49901797100918094,0.001,0.33635156081833567,0.08779612753959558,0.07354246248283323,0.49769015075913464
2,0.20835364317367264,0.06144279574201021,0.05938761415845999,0.32918405340594453,0.001,0.3043972784133843,0.07593337414321022,0.06646284374475211,0.44679349623768927
3,0.18130083784775172,0.05381465005305884,0.05173354088900291,0.28684902894250874,0.001,0.22222849598944752,0.07131464640861303,0.06674810367104397,0.36029124700378967
4,0.13171543591678878,0.039836284747550174,0.03917840605768071,0.2107301268212484,0.001,0.2340043214339006,0.07194038153200714,0.06902133822125713,0.37496604218307245
5,0.10716817122380091,0.032344382630612484,0.031324095298057526,0.17083664920237518,0.001,0.2139631630138557,0.06105470469797056,0.056938990959164826,0.3319568589721172
6,0.08466100808131088,0.026206172684742172,0.0238962041270229,0.1347633850904641,0.001,0.2093930986183009,0.06106374898820603,0.06148424182252762,0.3319410892747031
7,0.06859784880155205,0.019868340768724232,0.01952575601694128,0.10799194556841732,0.001,0.2401569012619288,0.0741460421284363,0.07185420537016361,0.386157149185549
8,0.059547175210047716,0.016993963586897268,0.016369161536840975,0.09291030041359764,0.001,0.21838110223745527,0.06627128880167894,0.07923847878338125,0.3638908700587087
9,0.04801310413356169,0.013823105104290542,0.013669696794222634,0.07550590602929846,0.001,0.23876550356835216,0.07226347636922047,0.07708065361320661,0.3881096336545341
10,0.040560408277484014,0.012597925240562528,0.011666297448978806,0.064824630897789,0.001,0.2379331828828528,0.07180981550763284,0.06603089773306423,0.375773894976485
11,0.0374513399642398,0.00987061966189887,0.010041339518213942,0.057363299150438855,0.001,0.25489066586636316,0.07400033051284068,0.07127897210860706,0.4001699675494189
12,0.03050407281800077,0.009525896155181433,0.009506074965586654,0.04953604390080299,0.001,0.2571884629223171,0.07242336169544336,0.07939613258303328,0.40900795586640015
13,0.02944238555682035,0.009181486926949386,0.0075617133793751375,0.0461855858517468,0.001,0.2711624007718336,0.07862561869667996,0.09971122290516363,0.4494992436983055
14,0.027237402684521562,0.008015986346862732,0.007572965223326369,0.042826354242998355,0.001,0.25166734828881776,0.08247029814945751,0.07708283112235069,0.41122047977607357
15,0.023267165453718205,0.007970347582608983,0.0069926731403939305,0.03823018614966214,0.001,0.2739080488517142,0.07780861185469858,0.08114223223565277,0.43285889205021
16,0.02327935643044566,0.0071353784243039075,0.006853940786829806,0.03726867565316199,0.001,0.2653988404675462,0.07831590206326898,0.07932480100526008,0.4230395431447806
17,0.02081236770835918,0.006679432704822085,0.006256446381239103,0.03374824683037737,0.001,0.2695494606412402,0.07951647052760089,0.08486221831935112,0.433928150007876
18,0.020295020750134205,0.005002553630511854,0.006283247804815414,0.031580822162309265,0.001,0.2880427768387631,0.08345550115137056,0.08093891876292984,0.4524371975598499
19,0.018908220619381577,0.005631152973322028,0.005611025682285172,0.030150399272008764,0.001,0.2841601603385754,0.08033286736390365,0.07215196785960033,0.43664499674790375
20,0.01701577358194982,0.005190569728204039,0.00575141733542103,0.027957760641584173,0.001,0.2854558653474727,0.09548303618103172,0.07530659521906062,0.4562454960251921
21,0.017257583855450027,0.004628079948900817,0.004663064083096344,0.026548727860143926,0.001,0.28591264993744525,0.07356685492250171,0.08762011126485147,0.4470996157671102
22,0.016547153821092554,0.004427012874604327,0.003618120528643553,0.02459228727513112,0.001,0.289188752087864,0.08930898360639698,0.08465567829281204,0.4631534144589033
23,0.014839768340072137,0.004592671209513121,0.003499308876466297,0.022931748466393075,0.001,0.30520203114046385,0.08549776848816007,0.08645300756381721,0.47715280822128525
24,0.01311677502425993,0.004616144427547881,0.004225914484691131,0.021958833901594477,0.001,0.2820339400283242,0.07685420395633506,0.07771946676378608,0.4366076099443551
25,0.013750782926209359,0.0038732129213750644,0.004252466153508636,0.02187646192257339,0.001,0.2755055879329392,0.08632044236312042,0.08270431903345044,0.44453034930539215
26,0.012694480561893054,0.00401119381710093,0.003840919849208648,0.020546594207931236,0.001,0.28594617889899543,0.08854906023758309,0.09331973657911392,0.4678149750714554
27,0.011488680708836085,0.003669903307943231,0.0036717795569819324,0.01883036358397316,0.001,0.30634051625757963,0.08145629959350342,0.08732209003163852,0.47511890548715263
28,0.011862634850891262,0.003754149521361893,0.0035410527055790486,0.019157837049136983,0.001,0.29579991711964165,0.08383333187695775,0.08051928443597604,0.4601525330701073
29,0.011940560433288812,0.004083336108716246,0.0037343956949320075,0.019758292237109433,0.001,0.2652366134296251,0.07888406187263068,0.08004031379939389,0.4241609901994334
